variant,N,threads,run,time_sec,verified
ADDCHAIN5,2048,1,1,57.417284012,1
ADDCHAIN5,2048,1,2,56.855214119,1
ADDCHAIN5,2048,1,3,56.937586069,1
ADDCHAIN5,2048,1,4,56.944439173,1
ADDCHAIN5,2048,1,5,56.890196800,1
ADDCHAIN5,2048,2,1,28.477900028,1
ADDCHAIN5,2048,2,2,28.663318157,1
ADDCHAIN5,2048,2,3,28.617927074,1
ADDCHAIN5,2048,2,4,28.608720064,1
ADDCHAIN5,2048,2,5,28.646564007,1
ADDCHAIN5,2048,4,1,14.480726004,1
ADDCHAIN5,2048,4,2,14.533698082,1
ADDCHAIN5,2048,4,3,14.238842010,1
ADDCHAIN5,2048,4,4,14.302121162,1
ADDCHAIN5,2048,4,5,14.251857042,1
ADDCHAIN5,2048,6,1,9.874148846,1
ADDCHAIN5,2048,6,2,10.006882906,1
ADDCHAIN5,2048,6,3,9.906746864,1
ADDCHAIN5,2048,6,4,9.891654015,1
ADDCHAIN5,2048,6,5,9.851243019,1
ADDCHAIN5,2048,8,1,7.474545002,1
ADDCHAIN5,2048,8,2,7.497184992,1
ADDCHAIN5,2048,8,3,7.463634014,1
ADDCHAIN5,2048,8,4,7.448618174,1
ADDCHAIN5,2048,8,5,7.422092199,1
ADDCHAIN5,2048,10,1,8.107086897,1
ADDCHAIN5,2048,10,2,9.476711988,1
ADDCHAIN5,2048,10,3,8.745198965,1
ADDCHAIN5,2048,10,4,8.423669100,1
ADDCHAIN5,2048,10,5,8.969681025,1
ADDCHAIN5,2048,12,1,8.228775024,1
ADDCHAIN5,2048,12,2,8.207900047,1
ADDCHAIN5,2048,12,3,7.899487972,1
ADDCHAIN5,2048,12,4,7.857584000,1
ADDCHAIN5,2048,12,5,7.807543039,1
ADDCHAIN5,2048,14,1,7.296586990,1
ADDCHAIN5,2048,14,2,7.648581028,1
ADDCHAIN5,2048,14,3,7.541648149,1
ADDCHAIN5,2048,14,4,7.351166964,1
ADDCHAIN5,2048,14,5,7.559143066,1
ADDCHAIN5,2048,16,1,6.589220047,1
ADDCHAIN5,2048,16,2,6.505903006,1
ADDCHAIN5,2048,16,3,6.604326010,1
ADDCHAIN5,2048,16,4,6.607371092,1
ADDCHAIN5,2048,16,5,6.529742002,1
