variant,N,threads,run,time_sec,result,verified
DOT_PRODUCT,1000000000,1,1,0.255269051,-14601,1
DOT_PRODUCT,1000000000,1,2,0.254028082,-14601,1
DOT_PRODUCT,1000000000,1,3,0.260389090,-14601,1
DOT_PRODUCT,1000000000,1,4,0.509332895,-14601,1
DOT_PRODUCT,1000000000,1,5,0.388587952,-14601,1
DOT_PRODUCT,1000000000,2,1,0.328305006,-14601,1
DOT_PRODUCT,1000000000,2,2,0.135014057,-14601,1
DOT_PRODUCT,1000000000,2,3,0.193495989,-14601,1
DOT_PRODUCT,1000000000,2,4,0.233327150,-14601,1
DOT_PRODUCT,1000000000,2,5,0.126734972,-14601,1
DOT_PRODUCT,1000000000,4,1,0.121335983,-14601,1
DOT_PRODUCT,1000000000,4,2,0.143680811,-14601,1
DOT_PRODUCT,1000000000,4,3,0.117887974,-14601,1
DOT_PRODUCT,1000000000,4,4,0.113533974,-14601,1
DOT_PRODUCT,1000000000,4,5,0.113603115,-14601,1
DOT_PRODUCT,1000000000,6,1,0.098253012,-14601,1
DOT_PRODUCT,1000000000,6,2,0.079383135,-14601,1
DOT_PRODUCT,1000000000,6,3,0.076206207,-14601,1
DOT_PRODUCT,1000000000,6,4,0.076184034,-14601,1
DOT_PRODUCT,1000000000,6,5,0.067062140,-14601,1
DOT_PRODUCT,1000000000,8,1,0.084674120,-14601,1
DOT_PRODUCT,1000000000,8,2,0.062746048,-14601,1
DOT_PRODUCT,1000000000,8,3,0.062983990,-14601,1
DOT_PRODUCT,1000000000,8,4,0.065437794,-14601,1
DOT_PRODUCT,1000000000,8,5,0.063529968,-14601,1
DOT_PRODUCT,1000000000,10,1,0.092765808,-14601,1
DOT_PRODUCT,1000000000,10,2,0.077224970,-14601,1
DOT_PRODUCT,1000000000,10,3,0.074431896,-14601,1
DOT_PRODUCT,1000000000,10,4,0.057986021,-14601,1
DOT_PRODUCT,1000000000,10,5,0.062597990,-14601,1
DOT_PRODUCT,1000000000,12,1,0.077625990,-14601,1
DOT_PRODUCT,1000000000,12,2,0.064960957,-14601,1
DOT_PRODUCT,1000000000,12,3,0.079123974,-14601,1
DOT_PRODUCT,1000000000,12,4,0.066071987,-14601,1
DOT_PRODUCT,1000000000,12,5,0.076483011,-14601,1
DOT_PRODUCT,1000000000,14,1,0.096096039,-14601,1
DOT_PRODUCT,1000000000,14,2,0.060706139,-14601,1
DOT_PRODUCT,1000000000,14,3,0.058190107,-14601,1
DOT_PRODUCT,1000000000,14,4,0.058046103,-14601,1
DOT_PRODUCT,1000000000,14,5,0.057884216,-14601,1
DOT_PRODUCT,1000000000,16,1,0.055558205,-14601,1
DOT_PRODUCT,1000000000,16,2,0.050977945,-14601,1
DOT_PRODUCT,1000000000,16,3,0.051023960,-14601,1
DOT_PRODUCT,1000000000,16,4,0.051478148,-14601,1
DOT_PRODUCT,1000000000,16,5,0.057892084,-14601,1
