variant,N,block,threads,run,time_sec,verified
OMM,2048,0,1,1,1.296764851,1
OMM,2048,0,1,2,1.246690035,1
OMM,2048,0,1,3,1.375498056,1
OMM,2048,0,1,4,1.441996098,1
OMM,2048,0,1,5,1.385350943,1
OMM,2048,0,2,1,0.644286871,1
OMM,2048,0,2,2,0.599545956,1
OMM,2048,0,2,3,0.637542963,1
OMM,2048,0,2,4,0.631791115,1
OMM,2048,0,2,5,0.578701019,1
OMM,2048,0,4,1,0.439834833,1
OMM,2048,0,4,2,0.347486019,1
OMM,2048,0,4,3,0.343177795,1
OMM,2048,0,4,4,0.322335005,1
OMM,2048,0,4,5,0.342718124,1
OMM,2048,0,6,1,0.336094141,1
OMM,2048,0,6,2,0.214803934,1
OMM,2048,0,6,3,0.216240883,1
OMM,2048,0,6,4,0.233291149,1
OMM,2048,0,6,5,0.249040127,1
OMM,2048,0,8,1,0.229155064,1
OMM,2048,0,8,2,0.164371967,1
OMM,2048,0,8,3,0.172208071,1
OMM,2048,0,8,4,0.194237947,1
OMM,2048,0,8,5,0.148780107,1
OMM,2048,0,10,1,0.276622057,1
OMM,2048,0,10,2,0.294823885,1
OMM,2048,0,10,3,0.239672184,1
OMM,2048,0,10,4,0.273998976,1
OMM,2048,0,10,5,0.272642851,1
OMM,2048,0,12,1,0.225363970,1
OMM,2048,0,12,2,0.232762098,1
OMM,2048,0,12,3,0.235646963,1
OMM,2048,0,12,4,0.237380981,1
OMM,2048,0,12,5,0.193432093,1
OMM,2048,0,14,1,0.197119951,1
OMM,2048,0,14,2,0.206878185,1
OMM,2048,0,14,3,0.208807945,1
OMM,2048,0,14,4,0.199796915,1
OMM,2048,0,14,5,0.167932987,1
OMM,2048,0,16,1,0.164289951,1
OMM,2048,0,16,2,0.161576033,1
OMM,2048,0,16,3,0.178209066,1
OMM,2048,0,16,4,0.177174091,1
OMM,2048,0,16,5,0.161865950,1
BMM4,2048,4,1,1,21.807043076,1
BMM4,2048,4,1,2,23.478336096,1
BMM4,2048,4,1,3,23.300500870,1
BMM4,2048,4,1,4,23.888819933,1
BMM4,2048,4,1,5,23.811881065,1
BMM4,2048,4,2,1,11.221965790,1
BMM4,2048,4,2,2,11.324526787,1
BMM4,2048,4,2,3,10.936991930,1
BMM4,2048,4,2,4,11.279242992,1
BMM4,2048,4,2,5,11.139293909,1
BMM4,2048,4,4,1,5.535474062,1
BMM4,2048,4,4,2,5.766999960,1
BMM4,2048,4,4,3,5.794921875,1
BMM4,2048,4,4,4,5.883520842,1
BMM4,2048,4,4,5,5.772683859,1
BMM4,2048,4,6,1,3.745956182,1
BMM4,2048,4,6,2,3.797940016,1
BMM4,2048,4,6,3,3.770532131,1
BMM4,2048,4,6,4,3.798759937,1
BMM4,2048,4,6,5,4.144366026,1
BMM4,2048,4,8,1,3.071954966,1
BMM4,2048,4,8,2,2.936259985,1
BMM4,2048,4,8,3,2.991244078,1
BMM4,2048,4,8,4,2.941601992,1
BMM4,2048,4,8,5,2.899173975,1
BMM4,2048,4,10,1,4.181338072,1
BMM4,2048,4,10,2,4.064455032,1
BMM4,2048,4,10,3,4.190159082,1
BMM4,2048,4,10,4,3.691248178,1
BMM4,2048,4,10,5,4.585176945,1
BMM4,2048,4,12,1,3.608957052,1
BMM4,2048,4,12,2,3.721354008,1
BMM4,2048,4,12,3,3.683446884,1
BMM4,2048,4,12,4,3.899066925,1
BMM4,2048,4,12,5,3.687952042,1
BMM4,2048,4,14,1,3.232297182,1
BMM4,2048,4,14,2,3.297434092,1
BMM4,2048,4,14,3,3.324293852,1
BMM4,2048,4,14,4,3.329222918,1
BMM4,2048,4,14,5,3.250014067,1
BMM4,2048,4,16,1,2.818039894,1
BMM4,2048,4,16,2,2.875910997,1
BMM4,2048,4,16,3,3.025953054,1
BMM4,2048,4,16,4,2.838693857,1
BMM4,2048,4,16,5,2.838200092,1
BMM8,2048,8,1,1,14.537517071,1
