variant,N,block,threads,avg_sec,speedup,verified
OMM,2048,0,1,1.349259996,1.000000,1
OMM,2048,0,2,0.618373585,2.181950,1
OMM,2048,0,4,0.359110355,3.757229,1
OMM,2048,0,6,0.249894047,5.399328,1
OMM,2048,0,8,0.181750631,7.423688,1
OMM,2048,0,10,0.271551991,4.968699,1
OMM,2048,0,12,0.224917221,5.998918,1
OMM,2048,0,14,0.196107197,6.880217,1
OMM,2048,0,16,0.168623018,8.001636,1
BMM4,2048,4,1,23.257316208,1.000000,1
BMM4,2048,4,2,11.180404282,2.080186,1
BMM4,2048,4,4,5.750720119,4.044244,1
BMM4,2048,4,6,3.851510859,6.038492,1
BMM4,2048,4,8,2.968046999,7.835899,1
BMM4,2048,4,10,4.142475462,5.614352,1
BMM4,2048,4,12,3.720155382,6.251706,1
BMM4,2048,4,14,3.286652422,7.076293,1
BMM4,2048,4,16,2.879359579,8.077253,1
BMM8,2048,8,1,14.671989202,1.000000,1
BMM8,2048,8,2,7.594565010,1.931906,1
BMM8,2048,8,4,3.698021984,3.967524,1
BMM8,2048,8,6,2.670718193,5.493649,1
BMM8,2048,8,8,1.924256229,7.624759,1
BMM8,2048,8,10,2.708562756,5.416891,1
BMM8,2048,8,12,2.457196045,5.971029,1
BMM8,2048,8,14,2.143782425,6.843973,1
BMM8,2048,8,16,1.915606022,7.659189,1
BMM16,2048,16,1,5.578108215,1.000000,1
BMM16,2048,16,2,2.749165583,2.029019,1
BMM16,2048,16,4,1.441260958,3.870297,1
BMM16,2048,16,6,0.986192369,5.656207,1
BMM16,2048,16,8,0.718431616,7.764286,1
BMM16,2048,16,10,1.096376228,5.087768,1
BMM16,2048,16,12,0.948004961,5.884050,1
BMM16,2048,16,14,0.874423933,6.379181,1
BMM16,2048,16,16,0.767312860,7.269666,1
BMM32,2048,32,1,2.790797615,1.000000,1
BMM32,2048,32,2,1.346504402,2.072624,1
BMM32,2048,32,4,0.729023647,3.828130,1
BMM32,2048,32,6,0.503498554,5.542812,1
BMM32,2048,32,8,0.377619934,7.390493,1
BMM32,2048,32,10,0.559340954,4.989439,1
BMM32,2048,32,12,0.476642847,5.855113,1
BMM32,2048,32,14,0.407538939,6.847929,1
BMM32,2048,32,16,0.379112196,7.361403,1
BMM64,2048,64,1,2.014783049,1.000000,1
BMM64,2048,64,2,0.995119762,2.024664,1
BMM64,2048,64,4,0.505931711,3.982322,1
BMM64,2048,64,6,0.357992363,5.628006,1
BMM64,2048,64,8,0.254803610,7.907200,1
BMM64,2048,64,10,0.407371759,4.945809,1
BMM64,2048,64,12,0.361517382,5.573129,1
BMM64,2048,64,14,0.305229998,6.600868,1
BMM64,2048,64,16,0.279500723,7.208507,1
OMM,4096,0,1,16.769182396,1.000000,1
OMM,4096,0,2,8.889175129,1.886472,1
OMM,4096,0,4,5.279901838,3.176041,1
OMM,4096,0,6,3.478294849,4.821093,1
OMM,4096,0,8,2.635464478,6.362894,1
OMM,4096,0,10,3.437310791,4.878576,1
OMM,4096,0,12,2.974521685,5.637606,1
OMM,4096,0,14,2.292441988,7.314987,1
OMM,4096,0,16,2.105128050,7.965873,1
BMM4,4096,4,1,538.593451977,1.000000,1
BMM4,4096,4,2,270.080924177,1.994193,1
BMM4,4096,4,4,121.678889799,4.426351,1
BMM4,4096,4,6,65.661794949,8.202539,1
BMM4,4096,4,8,45.796167040,11.760667,1
BMM4,4096,4,10,33.885839987,15.894352,1
BMM4,4096,4,12,36.711439228,14.670998,1
BMM4,4096,4,14,31.209750414,17.257218,1
BMM4,4096,4,16,26.126670265,20.614699,1
BMM8,4096,8,1,109.891229820,1.000000,1
BMM8,4096,8,2,55.689299202,1.973292,1
BMM8,4096,8,4,28.642516565,3.836647,1
BMM8,4096,8,6,19.112007809,5.749853,1
BMM8,4096,8,8,14.245167351,7.714281,1
BMM8,4096,8,10,14.407369041,7.627432,1
BMM8,4096,8,12,12.514645433,8.781010,1
BMM8,4096,8,14,11.398120213,9.641171,1
BMM8,4096,8,16,10.685332537,10.284306,1
BMM16,4096,16,1,37.862619019,1.000000,1
BMM16,4096,16,2,18.750290585,2.019308,1
BMM16,4096,16,4,9.498953199,3.985978,1
BMM16,4096,16,6,6.329406977,5.982017,1
BMM16,4096,16,8,4.770926094,7.936115,1
BMM16,4096,16,10,4.607851601,8.216979,1
BMM16,4096,16,12,4.101465559,9.231485,1
BMM16,4096,16,14,3.700984859,10.230417,1
BMM16,4096,16,16,3.550861359,10.662939,1
BMM32,4096,32,1,16.253035021,1.000000,1
BMM32,4096,32,2,8.095871639,2.007571,1
BMM32,4096,32,4,4.127574492,3.937672,1
BMM32,4096,32,6,2.754876375,5.899733,1
BMM32,4096,32,8,2.089670181,7.777799,1
BMM32,4096,32,10,2.069776058,7.852557,1
BMM32,4096,32,12,1.894806004,8.577678,1
BMM32,4096,32,14,1.784875727,9.105976,1
BMM32,4096,32,16,1.664180231,9.766391,1
BMM64,4096,64,1,10.698415375,1.000000,1
BMM64,4096,64,2,5.323626804,2.009610,1
BMM64,4096,64,4,2.706128597,3.953402,1
BMM64,4096,64,6,1.839574671,5.815701,1
BMM64,4096,64,8,1.384069204,7.729682,1
BMM64,4096,64,10,1.502487993,7.120466,1
BMM64,4096,64,12,1.434073687,7.460157,1
BMM64,4096,64,14,1.247985411,8.572548,1
BMM64,4096,64,16,1.201156569,8.906762,1
