variant,N,threads,run,time_sec,verified
COUNTING_SORT_STREAM,1000000000000,1,1,1650.171116114,1
COUNTING_SORT_STREAM,1000000000000,1,2,1652.738271952,1
COUNTING_SORT_STREAM,1000000000000,1,3,1649.992586136,1
COUNTING_SORT_STREAM,1000000000000,1,4,1665.437513113,1
COUNTING_SORT_STREAM,1000000000000,1,5,1659.099255085,1
COUNTING_SORT_STREAM,1000000000000,2,1,907.206500053,1
COUNTING_SORT_STREAM,1000000000000,2,2,904.081910133,1
COUNTING_SORT_STREAM,1000000000000,2,3,907.782580137,1
COUNTING_SORT_STREAM,1000000000000,2,4,910.909645081,1
COUNTING_SORT_STREAM,1000000000000,2,5,908.200809002,1
COUNTING_SORT_STREAM,1000000000000,4,1,456.154856920,1
COUNTING_SORT_STREAM,1000000000000,4,2,455.574100018,1
COUNTING_SORT_STREAM,1000000000000,4,3,458.157760143,1
COUNTING_SORT_STREAM,1000000000000,4,4,456.629253864,1
COUNTING_SORT_STREAM,1000000000000,4,5,455.358675957,1
COUNTING_SORT_STREAM,1000000000000,6,1,305.449203014,1
COUNTING_SORT_STREAM,1000000000000,6,2,306.124242067,1
COUNTING_SORT_STREAM,1000000000000,6,3,304.939718962,1
COUNTING_SORT_STREAM,1000000000000,6,4,304.912775040,1
COUNTING_SORT_STREAM,1000000000000,6,5,304.921519995,1
COUNTING_SORT_STREAM,1000000000000,8,1,232.723939896,1
COUNTING_SORT_STREAM,1000000000000,8,2,235.916482210,1
COUNTING_SORT_STREAM,1000000000000,8,3,232.270211935,1
COUNTING_SORT_STREAM,1000000000000,8,4,233.016340017,1
COUNTING_SORT_STREAM,1000000000000,8,5,232.346275091,1
COUNTING_SORT_STREAM,1000000000000,10,1,288.104818106,1
COUNTING_SORT_STREAM,1000000000000,10,2,290.641345024,1
COUNTING_SORT_STREAM,1000000000000,10,3,282.480128050,1
COUNTING_SORT_STREAM,1000000000000,10,4,281.118957996,1
COUNTING_SORT_STREAM,1000000000000,10,5,281.341442108,1
COUNTING_SORT_STREAM,1000000000000,12,1,250.216621876,1
COUNTING_SORT_STREAM,1000000000000,12,2,253.163911104,1
COUNTING_SORT_STREAM,1000000000000,12,3,251.410857916,1
COUNTING_SORT_STREAM,1000000000000,12,4,255.079913139,1
COUNTING_SORT_STREAM,1000000000000,12,5,255.102891922,1
COUNTING_SORT_STREAM,1000000000000,14,1,226.677338839,1
COUNTING_SORT_STREAM,1000000000000,14,2,222.133450031,1
COUNTING_SORT_STREAM,1000000000000,14,3,219.826735020,1
COUNTING_SORT_STREAM,1000000000000,14,4,225.391772985,1
COUNTING_SORT_STREAM,1000000000000,14,5,222.581446886,1
COUNTING_SORT_STREAM,1000000000000,16,1,204.095777035,1
COUNTING_SORT_STREAM,1000000000000,16,2,205.392480135,1
COUNTING_SORT_STREAM,1000000000000,16,3,204.912559986,1
COUNTING_SORT_STREAM,1000000000000,16,4,203.929377079,1
COUNTING_SORT_STREAM,1000000000000,16,5,205.261833906,1
